,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
5496,Information,5700 S. Maryland (CCD),4/1/14 1:22 PM,3/29/14 to 3/30/14 4:45 PM to 4:55 PM,Cash missing from patient valuables envelope / Investigation by UCM,Closed,D00303
5497,Theft,5706 S. University (Reynolds Club),4/1/14 5:23 PM,3/26/14 1:00 PM to 1:15 PM,Unattended and unsecured knapsack containing a laptop computer taken by unknown person,Open,D00304
5498,Information,5200 S Cornell,4/2/14 2:41 PM,4/1/14 5:00 PM,Delayed report / Victim said a man struck him with his fist while walking off campus / Victim not injured and refused a CPD report,Closed,D00305
5499,Harassment by Electronic Means,6045 S. Kenwood,4/2/14 3:21 PM,12/8/14 to 4/2/14 various times,Known person has transmitted harassing email and telephone messages,Open,D00306
5500,Warrant Arrest,5500 S. Woodlawn,4/2/14 4:18 PM,4/2/14 4:18 PM,"As a result of a traffic stop, UCPD officers arrested a motorist for an active warrant from CPD",Arrest,D00307
5501,UUW Arrest,44th & Cottage Grove,4/2/14 10:52 PM,4/2/14 10:52 PM,"Subsequent to a stop for a traffic violation, UCPD officers arrested one subject for illegal possession of ammunition while a second subject was arrested for possession of marijuana",Arrest,D00308
5502,Traffic Accident / Hit & Run,1130 E. 57th St.,4/3/14 8:46 AM,4/3/14 8:45 AM,An unknown motorist struck a UC owned vehicle and fled / Property damage accident MVA 00236,Closed,D00309
5503,Burglary,6022 S. Drexel (Midway Res. Hall)),4/3/14 1:47 PM,4/3/14 12:00 PM to 1:30 PM,Unknown person(s) forced entry to building lobby / Opened parcels and took contents,Open,D00310
5504,Found Property,1101 E. 56th St.,4/4/14 11:01 AM,4/4/14 10:45 AM,Individual found a bag containing cash on the sidewalk / Turned over to UCPD for safekeeping,Closed,D00311
5505,Injured Person,1100 E. 57th St. (Regenstein Library),4/4/14 11:39 AM,4/4/14 11:30 AM,Woman tripped and fell to the floor injuring her right leg / Transported to ER by CFD EMS for evaluation and treatment,Closed,D00312
5506,Theft,5550 S. University (Crown Field House),4/4/14 5:06 PM,4/2/2014 3:30 PM to 4:05 PM,"Unknown person(s) took 3 cellphones, other electronics, and a jacket from a secured room / UCPD Investigations arrested two subjects on 4/11/14 / Case cleared",Arrest,D00313
5507,Possession of Cannabis,5200 S. Blackstone,4/4/14 5:58 PM,4/4/14 5:19 PM,UCPD officers arrested a motorist for possession of cannabis and other related charges,Arrest,D00314
5508,Warrant Arrest,5555 S.. Woodlawn,4/5/14 10:46 AM,4/5/14 10:46 AM,"Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the motorist for an active warrant from Hazel Crest, IL",Arrest,D00315
5509,Information / Burglary,Hyde Park between 54th & 55th,4/5/14 4:09 PM,4/5/14 12:45 PM,Two unknown males entered off campus private apartment via unsecured rear window and took a laptop computer / CPD case HX211911,CPD,D00316
5510,Assist Other Agency / Motor Vehicle Theft,4900 S. Ellis,4/5/14 8:55 PM,4/5/14 8:55 PM,UCPD officer stopped vehicle for a traffic violation / Driver fled on foot / Vehicle had been reported stolen to CPD / Vehicle recovered and returned to owner / CPD case,CPD,D00317
5511,Medical Call,1414 E. 59th St. (I-House),4/5/14 9:43 PM,4/5/14 9:30 PM,Individual became ill after smoking marijuana / Transported to ER by CFD EMS for evaluation and treatment,Referred,D00318
5512,Lost Property,5300 S. Harper,4/6/14 3:48 AM,4/6/14 3:30 AM,Woman left her shoulder bag in the rear seat of a livery vehicle,Closed,D00319
5513,Information,5530 S. Ellis (Ratner A.C.),4/6/14 3:52 PM,4/5/14 6:00 PM,Individual involved in a verbal altercation,Closed,D00320
5514,Information / Theft,Harper Ct. between Harper & Lake Park,4/6/14 5:09 PM,4/6/14 12:00 PM to 4:30 PM,Unknown person took cash and credit card from purse in unsecured locker in employees locker room of restaurant / CPD case,CPD,D00321
5515,Damage to Property,5530 S. Ellis,4/6/14 6:43 PM,3/30/14 8:30 PM to 9:00 PM,Report of damage to UC owned vehicle,Closed,D00322
5516,Information,5811 S. Ellis (Cobb Hall),4/6/14 8:29 PM,4/6/14 8:29 PM,Fire alarm triggered by broken steam line in basement / CFD and UC Facilities responded,Closed,D00323
5517,Damage to Property,6054 S. Drexel,4/7/14 1:22 PM,4/6/14 to 4/7/14 6:00 PM to 11:30 AM,Minor damage to door of UC owned vehicle reported,Closed,D00324
5518,Information / Battery,54th Pl. between Ingleside & Ellis,4/7/14 2:07 PM,4/4/14 12:00 PM,Individual reported being struck with a beer bottle during an altercation at a party off campus / declined CPD report,Closed,D00325
5519,Theft,Kimbark between 53rd & 54th,4/7/14 5:14 PM,4/7/14 2:00 PM to 5:14 PM,UCPD officer arrested a suspect for possession of items taken from U.S.P.O parcels delivered to apartment building vestibule,Arrest,D00326
5520,Warrant Arrest,6000 S. Drexel,4/7/14 6:19 PM,4/7/14 6:19 PM,"Subsequent to a stop for a traffic violation, UCPD officers arrested a motorist for an active arrest warrant for burglary from Lake County, IL",Arrest,D00327
5521,Void,Void,Void,Void,Report generated in error,Void,D00328
5522,Assist Other Agency / Criminal Trespass to Vehicle,5200 S. Woodlawn,4/8/14 2:41 PM,4/8/14 2:41 PM,UCPD officers detained 4 suspects riding in a vehicle that had been reported stolen to CPD / CPD case HX214597,CPD,D00329
5523,Criminal Damage to Property,1118 E. 58th St. (Eckhart Hall),4/8/14 3:54 PM,4/4/14 to 4/8/14 4:00 PM to 3:00 PM,Unknown person broke glass in 2nd floor office door,Open,D00330
5524,Information,1005 E. 60th St. (Burton-Judson),4/8/14 4:01 PM,4/8/14 4:01 PM,UCPD officer assisted Housing staff with an inquiry from another law enforcement agency,Closed,D00331
5525,Warrant Arrest,5500 S. Drexel,4/9/14 12:43 AM,4/9/14 12:43 AM,"Subsequent to a stop for a traffic violation, UCPD officers arrested a passenger in the vehicle who was wanted on a warrant from Cook County, IL",Arrest,D00332
5526,Warrant Arrest,901 E. 58th St. (Mitchell ER),4/9/14 1:29 AM,4/9/14 1:29 AM,"UCPD officers arrested an individual wanted on a warrant from Cook County, IL",Arrest,D00333
5527,Found / Suspect Narcotics,5700 S. Maryland (CCD),4/9/14 9:07 AM,4/9/14 8:15 AM,Staff discovered suspect narcotics in patient's room / Confiscated and inventoried by UCPD,Closed,D00334
5528,Theft,1101 E. 58th (Rosenwald Bike Rack),4/9/14 10:30 AM,4/9/14 8:30 AM to 10:30 AM,Secured bicycle taken from bike rack,Open,D00335
5529,Information,5639 S. University (Fraternity House),4/9/14 11:44 PM,4/9/14 11:35 PM to 11:40 PM,Unknown person shattered front window with a beer bottle / CPD case,CPD,D00336
5530,Information / Burglary,Madison Park between Kenwood & Dorchester,4/10/14 12:19 PM,4/10/14 12:10 PM,Two unknown males entered private residence off campus via an unsecured rear window / Suspects fled when confronted by a resident / CPD case,CPD,D00337
5531,Possession of Cannabis,Cornell between 53rd & 54th,4/10/14 10:16 PM,4/10/14 10:16 PM,UCPD officers arrested a male for possession of cannabis,Arrest,D00338
5532,Mental Health Transport,University between 61st & 62nd,4/10/14 9:47 PM,4/10/14 9:47 PM,Individual was transported to ER for evaluation and treatment,Closed,D00339
5533,Theft,5807 S. Woodlawn (Booth School Bike Rack),4/11/14 11:40 AM,4/11/14 7:45 AM to 11:30 AM,Secured bicycle taken from bike rack,Open,D00340
5534,Theft from Person,6020 S. University (Public Way),4/11/14 6:58 PM,4/11/14 6:55 PM,"Unknown male, running past victim, reached into victim's book bag taking an iPhone and continued running northbound / UCPD investigators identified suspect who was arrested and charged on 4/24/14",Arrest,D00341
5535,Burglary,5615 S. University (Fraternity House),4/11/14 6:08 PM,4/11/14 6:20 PM,Suspect gained entry to 3rd floor apartment and took a laptop computer / Subsequent to UCPD investigation suspect was arrest and charged with burglary on 4/29/14,Arrest,D00342
5536,Medical Call,5454 S. Lake Shore Dr.,4/12/14 5:52 AM,4/12/14 5:50 AM,Ill person transported to ER by CFD EMS,Closed,D00343
5537,Medical Call,Woodlawn between 52nd & 53rd,4/12/14 11:26 AM,4/12/14 11:26 AM,Ill person transported to ER by CFD EMS,Closed,D00344
5538,Warrant Arrest,6450 S. Stony Island,4/12/14 5:11 PM,4/12/14 5:11 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officers placed subject in custody for an arrest warrant on file from DeKalb County, IL",Arrest,D00345
5539,Theft,5807 S. Woodlawn (Booth School Bike Rack),4/12/14 6:11 PM,4/12/14 2:00 PM to 5:55 PM,Unknown person took secured bicycle from bike rack),Open,D00346
5540,Liquor Law Violation,5452 S. Ellis (Public Way),4/13/14 1:11 AM,4/13/14 1:11 AM,Underage individual became ill after consuming alcoholic beverages / Escorted to residence by acquaintance,Referred,D00347
5541,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date
5542,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date
5543,Information / Burglary,Ellis between 54th & 55th,4/15/14 10:44 PM,4/15/14 11:30 AM to 9:00 PM,Unknown person(s) gained entry to off campus private apartment via unsecured rear window / Took laptop computer and coins / CPD case,CPD,D00348
5544,Information,5238 S. Harper (Theater),4/16/14 4:21 AM,4/16/14 4:20 AM,Fire alarm triggered by construction dust / No fire or smoke / CFD on the scene,Closed,D00349
5545,Information / Theft,Woodlawn between 53rd & 54th,4/16/14 1:27 PM,4/16/14 10:45 AM to 1:20 PM,Woman reported losing wallet / Subsequent unauthorized use of credit / debit cards reported / CPD report HX225685,CPD,D00350
5546,Lost Property,1118 E. 58th St. to 5807 S. Woodlawn,4/16/14 3:36 PM,4/16/14 11:30 AM to 11:40 AM,Individual reported losing a car key while walking from Eckhart Hall to the Booth School,Closed,D00351
5547,Injured Person,5530 S. Ellis (Ratner A.C.),4/16/14 9:46 PM,4/16/14 9:35 PM,Woman was struck in the face with a ball while playing water polo / Transported to ER by CFD EMS,Closed,D00352
5548,Warrant Arrest,5900 S. Woodlawn,4/17/14 4:49 PM,4/17/14 4:49 PM,"Subsequent to a stop for a traffic violation, UCPD officers arrested a motorist wanted on a warrant from Alsip, IL",Arrest,D00353
5549,Information / Burglary,50th Pl. between Cornell & East End,4/18/14 9:59 AM,4/18/14 7:00 AM to 9:55 AM,Unknown person entered off campus private apartment via an unsecured door and took various items / CPD case,CPD,D00354
5550,Assist Other Agency / Theft,1453 E. 53rd St.,4/18/14 1:45 PM,4/18/14 1:45 PM,UCPD officers detained a retail theft suspect / Turned over to CPD,CPD,D00355
5551,Theft,5540 S. Hyde Park (Broadview Bike Rack),4/18/14 4:32 PM,4/17/14 to 4/18/14 5:00 PM to 4:10 PM,Unknown person removed bicycle that had been secured to the bike rack,Open,D00356
5552,Injured Person,1101 E. 57th St. (Hull Gate),4/18/14 4:36 PM,4/18/14 4:30 PM,Woman tripped and fell to the pavement injuring her face and fingers / Transported to ER by CFD EMS,Closed,D00357
5553,Information,5730 S. Ellis (Crerar),4/18/14 9:24 PM,4/18/14 9:24 PM,Fire alarm triggered by unknown cause / No fire or smoke / CFD on the scene,Closed,D00358
5554,Criminal Trespass to Land,5706 S. University Reynolds Club),4/18/14 3:30 PM,4/18/14 3:30 PM,Unauthorized individual was warned not to trespass on University property / Issued formal written notice,Closed,D00359
5555,Assist Other Agency / Warrant,5700 S. Blackstone,4/19/14 4:54 PM,4/19/14 4:54 PM,"UCPD officers detained an individual wanted on a burglary warrant from Evergreen Park, IL / Turned over to Evergreen Park PD",Arrest,D00360
5556,Information / Burglary,50th Pl. between Cornell and East End,4/19/14 at 7:39 PM,4/19/14 3:00 PM to 4:30 PM,Unknown person(s) entered an off campus private apartment via an unsecured door / Took various electronic items and a purse / CPD case HX229970,CPD,D00361
5557,Information,Greenwood between 54th & 55th (Public Way),4/19/14 9:40 PM,4/19/14 8:50 PM,Unknown male solicited man for money / Suspect may have had a weapon in his possession but did not threaten complainant / CPD case,CPD,D00362
5558,Liquor Law Violation,901 E. 58th St. (Mitchell ER),4/20/14 1:25 AM,4/20/14 1:25 AM,Underage individual became ill after consuming alcoholic beverages / Taken to ER by a friend,Referred,D00363
5559,Damage to Property,5600 S. Ellis (Max Palevsky),4/20/14 6:22 PM,4/20/14 6:10 PM,1st floor window damaged / Cause is unknown at this time,Closed,D00364
5560,Damage to Property,1330 W. 127th St.,4/20/14 7:55 PM,4/20/2014 6:20 PM:00,UC owned vehicle sustained minor damage,Closed,D00365
5561,Assist Other Agency,5400 S. Hyde Park,4/20/14 7:26 PM,4/20/14 7:26 PM,"UCPD officer recovered a backpack dropped by a fleeing suspect, who made good his escape / Recovered 4- laptop computers, iPod, and clothing / Items were taken from a previous off campus burglary / CPD case HX230992",CPD,D00366
5562,Information,6054 S. Drexel (UCPD,4/21/14 6:10 PM,4/21/14 6:10 PM,Information from another police agency regarding a posting on the internet,Open,D00367
5563,Theft,6031 S. Ellis (SCRH Bike Rack),4/21/14 6:37 PM,4/18/14 to 4/19/14 4:30 PM to 3:30 PM,Unknown person took secured bicycle from bike rack,Open,D00368
5564,Theft,5550 S. University (Public Way),4/21/14 11:04 PM,4/15/14 to 4/16/14 11:00 PM to 8:30 AM,Hub cap logo taken from the wheel of a car parked on the street,Open,D00369
5565,Theft,5700 S. Maryland (CCD),4/22/14 6:41 PM,4/22/14 12:00 PM to 3:30 PM,Unattended iPad taken from unsecured office / Item had been misplaced and subsequently found by owner / Unfounded,Unfounded,D00370
5566,Theft,1101 E. 56th St. (Max Palevsky),4/23/14 9:33 AM,4/17/14 to 4/20/14 5:00 PM to 2:00 PM,Unknown person took a reflective flag from a bicycle stored in secured bike room,Open,D00371
5567,Criminal Damage to Property,1115 E. 58th St. (Walker),4/23/14 11:11 AM,4/23/14 11:00 AM,Unknown person used a saw to cut a metal bike rack,Open,D00372
5568,Information / Armed Robbery,1548 E. 53rd St. (Metra Station),4/24/14 2:12 PM,4/24/14 2:00 PM,Unknown male armed with a handgun took property from a victim in the Metra Station stairway / CPD case HX235631,CPD,D00373
5569,Warrant Arrest,1165 E. 53rd St.,4/25/14 4:49 AM,4/25/14 4:45 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officers arrested the subject wanted on a warrant from Kendall County, IL",Arrest,D00374
5570,Liquor Law Violation,5827 S. University (Public Way),4/26/14 2:37 AM,4/26/14 2:37 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,D00375
5571,Liquor Law Violation,5801 S. Kenwood (Public Way),4/27/14 3:30 AM,4/27/14 3:30 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,D00376
5572,Information,5815 S. Maryland (Mitchell Hospital),4/27/14 10:07 PM,4/27/14 9:35 PM to 10:00 PM,Staff member reported being harassed by a fellow employee / Peace restored,Closed,D00377
5573,Information / Burglary,University between 61st & 62nd,4/28/14 12:56 AM,4/27/14 to 4/28/14 10:00 PM to 12:00 AM,"Unknown person(s) entered private apartment off campus via unsecured door taking a laptop computer, car keys and electronics / CPD case HX239892",CPD,D00378
5574,Information / Theft,5639 S. University (Fraternity House),4/28/14 1:31 PM,4/26/14 10:00 PM to 11:50 PM,Blue Cross ID and UC ID cards taken from wallet in unsecured room during a party / CPD case,CPD,D00379
5575,Telephone Harassment,1101 E. 57th St. (Zoology),4/28/14 1:14 PM,3/21/14 to 4/28/14 Various,Unknown person has placed several annoying and harassing telephone calls to complainant regarding a topic posted on a website,Open,D00380
5576,Fire,901 E. 58th St. (Exterior),4/28/14 12:57 PM,4/28/14 12:57 PM,Unknown person discarded cigarette into a trash container causing contents to smolder / Extinguished by Security / No personal or property damage reported,Closed,D00381
5577,Criminal Damage to Property,1307 E. 60th St. (New Graduate Res. Hall),4/29/14 1:21 PM,4/23/14 to 4/29/14 3:00 PM to 1:00 PM,Unknown persons damaged wall and door in conference room W172,Open,D00382
5578,Theft,5815 S. Maryland (Mitchell Hospital),4/29/14 1:38 PM,4/28/14 8:00 AM to 12:30 PM,Credit card taken from pocket of jacket hanging in unsecured office / Subsequent unauthorized use of credit card reported / Subsequent to UCPD follow-up investigation the suspect was arrested and charged,Arrest,D00383
5579,Theft,5700 S. Maryland (CCD),4/30/14 12:37 PM,4/27/14 to 4/29/14 4:00 AM to 5:00 PM,A pair of boots taken from patient's room,Open,D00384
5580,Mental Health Transport,1365 E. 60th St. (Orthogenic School),4/30/14 10:25 PM,4/30/14 10:25 PM,Individual was transported to the hospital by CFD EMS for evaluation and treatment,Closed,D00385
5581,Theft,1100 E. 58th St. (Ryerson),5/1/14 7:34 AM,4/30/14 to 5/1/14 9:30 PM to 7:30 AM,Unattended laptop taken from secured room,Open,D00386
5582,Theft,5841 S. Maryland (Billings Hospital),5/1/14 8:44 AM,4/30/14 11:45 AM to 1:30 PM,Unattended cell phone and credit card taken from unsecured office / Subsequent unauthorized use of credit card reported,Open,D00387
5583,Theft,901 E. 58th St. (Mitchell ER),5/1/14 1:39 PM,4/30/14 5:00 PM to 8:50 PM,Patient's wristwatch taken by an unknown person,Open,D00388
5584,Found Property,5800 S. Stony Island (Shapiro School),5/1/14 3:34 PM,5/1/14 2:50 PM,"Found driver's license, credit and debit cards turned over to UCPD for safekeeping",Closed,D00389
5585,Theft,5845 S. Ellis (Blake Hall Bike Rack),5/1/14 8:08 PM,4/30/14 to 5/1/14 10:30 AM to 4:00 PM,Bicycle secured to bike rack taken by an unknown person,Open,D00390
5586,Lost Property,6054 S. Drexel,5/2/14 10:27 AM,4/24/14 to 4/25/14 6:40 PM to 8:00 AM,Report of lost UCM ID card,Closed,D00391
5587,Theft,900 E. 57th St. (Knapp Center Bike Rack),5/2/14 10:32 AM,5/1/14 1:00 PM to 6:30 PM,Unknown person took secured bicycle from bike rack,Open,D00392
5588,Information,800 E. 55th St. (Friend Center),5/2/14 1:02 PM,4/30/14 3:40 AM,Report of suspicious voice message,Open,D00393
5589,Mental Health Transport,Dorchester between 51st & 52nd,5/2/14 7:29 PM,5/2/14 7:29 PM,Individual transported to ER for evaluation and treatment,Closed,D00394
5590,Theft,1010 E. 59th St.,5/3/14 1:57 PM,5/3/14 1:00 AM to 1:10 AM,Unattended and unsecured book bag placed against exterior wall of building was taken by an unknown person,Open,D00395
5591,Information / Armed Robbery,5841 S. Maryland,5/3/14 9:56 PM,5/3/14 9:55 PM,Suspect armed with a weapon forced victim from her vehicle and drove off / Suspect arrested and vehicle recovered by CPD units near 62nd & Vernon / Victim was not physically injured / CPD case HX247474,CPD / Arrest,D00396
5592,Assist Other Agency / Robbery,1540 E. Hyde Park,5/3/14 9:08 PM,5/3/14 9:05 PM,A group of unknown males forcibly took cell phones from two victims on the sidewalk off campus / UCPD officers located and detained 5 suspects who were identified by the victims and turned over to CPD / Victims' property was recovered / CPD case HX247947,CPD / Arrest,D00397
5593,Traffic Accident / Property Damage,6054 S. Drexel / Parking Structure,5/4/14 7:51 AM,5/4/14 6:50 AM,"UC owned vehicle sustained minor damage in traffic accident / No injuries, property damage only",Closed,D00398
5594,Warrant Arrest,5815 S. Maryland (Mitchell Hospital),5/4/14 10:07 AM,5/4/14 10:07 AM,UCPD officers arrested an individual wanted for parole violation by the Illinois Department of Corrections,Arrest,D00399
5595,Warrant Arrest,4800 S. Cottage Grove,5/4/14 7:20 PM,5/4/14 7:20 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officers arrested a passenger wanted on a warrant from Crown Point, IN",Arrest,D00400
5596,Information / Damage to Property,301 E. Garfield Blvd. (UC Arts Incubator),5/4/14 9:50 PM,5/4/14 9:50 PM,Security card reader at front entrance door damaged by unknown person / Further Investigation revealed damage occurred when CFD responded to a fire alarm,Closed,D00401
5597,Information,1427 E. 60th St. (Press Bldg),5/5/14 2:58 PM,4/29/14 7:40 AM,Information re. a possible fraudulent scheme,Open,D00402
5598,Theft,860 E. 59th St. (Goldblatt),5/5/14 2:44 PM,5/2/14 to 5/5/14 4:30 PM to 8:00 AM,2 Dell laptops taken from unsecured room,Open,D00403
5599,Theft,5550 S. University (Crown Field House),5/5/14 7:56 PM,5/5/14 6:30 PM to 7:45 PM,iPhone and $20 cash taken from belongings left unattended outside of squash court / Suspect was taken into custody on 5/6/14 and charged with theft,Cleared by Arrest,D00404
5600,Found Property,1212 E. 59th St.,5/5/14 10:13 PM,5/5/14 9:00 PM,A set of keys found near bike rack turned over to UCPD for safekeeping,Closed,D00405
5601,Domestic Battery,5730 S. Drexel (Comer Hospital),5/6/14 1:19 AM,5/6/14 12:42 AM,Woman was struck in the face by boyfriend during the course of an argument / Suspect fled but was located and arrested by UCPD,Arrest,D00406
5602,Armed Robbery,1165 E. 61st St.,5/6/14 6:24 PM,5/6/14 6:20 PM,"Two males, one armed with a handgun followed a man into the vestibule of a private apartment building off campus / Suspects took an iPhone and wallet before fleeing on foot / Both suspects taken into custody by UCPD officers / Weapon recovered / Victim was not physically injured",Arrest,D00407
5603,Information / Armed Robbery,5300 S. Cornell,5/7/14 12:22 AM,5/7/14 12:20 AM,"Two unknown males, one armed with a handgun, took property from a victim walking on the sidewalk off campus / CPD case",CPD,D00408
5604,Theft,5836 S. Greenwood (Haskell Hall Bike Rack),5/7/14 1:47 PM,5/7/14 9:30 AM to 10:30 AM,Secured bicycle taken from bike rack,Open,D00409
5605,Recovered Motor Vehicle,5200 S. Cottage Grove,5/7/14 7:12 PM,5/7/14 7:12 PM,UCPD officer recovered an unoccupied car parked on the street that had been reported stolen to CPD / CPD case HX246588,CPD,D00410
5606,Assist Other Agency,901 E. 58th St. (Mitchell ER),5/7/14 7:21 PM,5/7/14 7:21 PM,UCPD officer detained a person wanted by CPD / Turned over to CPD,CPD,D00411
5607,Information / Theft,Dorchester between 53rd & 54th,5/8/14 9:07 AM,5/4/14 to 5/8/14 11:00 AM to 9:00 AM,Unknown person took secured bicycle from secured bike room in off campus private apartment building,Closed,D00412
5608,Theft,5758 S. Maryland (DCAM),5/8/14 12:58 PM,5/6/14 to 5/7/14 2:20 PM to 4:15 AM,Patient reported items of jewelry taken from secured locker,Open,D00413
5609,Information / Theft,Greenwood between 54th & 55th,5/8/14 1:34 PM,5/8/14 1:30 PM,Unknown male snatched cell phone from the hand of a victim walking on the sidewalk off campus / CPD case,CPD,D00414
5610,Recovered Vehicle,919 E. 50th St.,5/8/14 11:26 PM,5/8/14 11:26 PM,UCPD officers recovered an unoccupied vehicle parked on the street that had been reported stolen to CPD / CPD case HX216690,CPD,D00415
5611,Information,5900 S. Stony Island,5/9/14 12:11 AM,5/9/14 12:11 AM,UCPD officers discovered an intoxicated male lying in the parkway / Assisted the individual to his residence,Closed,D00416
5612,Theft from Motor Vehicle,1155 E. 60th St. (Harris School Parking Lot),5/9/14 7:54 AM,5/7/14 8:00 AM to 2:00 PM,Four center wheel caps taken from a vehicle parked in the surface lot,Open,D00417
5613,Information,1010 E. 59th St.,5/9/14 8:55 AM,5/9/14 8:45 AM,A woman was struck by a vehicle while crossing the street / Victim walked to ER for evaluation and treatment / CPD report HX254535,CPD,D00418
5614,Injured Person,5801 S. Ellis (Levi Hall),5/9/14 11:36 AM,5/9/14 11:30 AM,A woman slipped on the exterior stairs injuring her left ankle / Transported to ER by CFD EMS,Closed,D00419
5615,Assist Other Agency / Robbery,5200 S. Lake Park,5/10/14 10:59 AM,5/10/14 10:55 AM,A male subject forcibly took a man's vehicle at the gas station / Victim resisted and hung onto the car / A traffic crash occurred and the victim was struck by another vehicle / Suspect fled on foot but was located and detained by UCPD officers / Suspect turned over to CPD / Victim transported to hospital / CPD case HX256060 and HX256090,CPD,D00420
5616,Information,5815 S. Maryland (Mitchell Hospital),5/10/14 1:14 PM,5/10/14 1:14 PM,Staff member found a baggie with a small amount of suspect residue in patient's room / Item properly destroyed,Closed,D00421
5617,Information,Woodlawn between 53rd & 54th,5/10/14 9:40 PM,5/10/14 5:00 PM,Two unknown males entered off campus private apartment but left when confronted by resident,Closed,D00422
5618,Disturbance,901 E. 58th St. (Mitchell ER),5/10/14 11:12 PM,5/10/14 11:12 PM,Patient created a disturbance / Peace restored by UCPD officers / Patient transported to another institution for mental evaluation and treatment,Closed,D00423
5619,Warrant Arrest,6200 S. Ellis,5/10/14 11:44 PM,5/10/14 11:44 PM,"Subsequent to a traffic violation, a passenger in the vehicle was arrested by UCPD officer for an arrest warrant from Cook County Sheriff's Office",Arrest,D00424
5620,Theft,5700 S. Maryland (CCD),5/11/14 5:30 PM,5/10/14 to 5/11/14 4:30 PM to 5:15 PM,Wallet taken from patient's room / Follow-up investigation revealed the wallet was taken by a family member for safekeeping / Unfounded,Unfounded,D00425
5621,Liquor Law Violation,1009 E. 57th St. (Snell-Hitchcock),5/12/14 12:54 AM,5/12/14 12:54 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,D00426
5622,Liquor Law Violation,1009 E. 57th St. (Snell-Hitchcock),5/12/14 1:47 AM,5/12/14 1:47 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,D00427
5623,Theft,5700 S. Maryland (CCD - Starbucks),5/12/14 12:02 PM,5/12/14 7:00 AM to 11:40 AM,Unknown person removed combination lock from employee's locker and took a purse,Open,D00428
5624,Theft,1116 E. 59th St. (Harper Library),5/12/14 3:49 PM,5/12/14 2:55 PM to 3:00 PM,Unattended laptop computer left on 1st floor bench taken by an unknown person / Notified that the unattended laptop was taken by an acquaintnace for safekeeping and returned to the owner / Unfounded,Unfounded,D00429
5625,Battery,1000 E. 54th St.,5/12/14 3:44 PM,5/12/14 3:40 PM,UCPD officer attempted to detain an individual for possession of cannabis / Suspect resisted and battered officer / Suspect placed under arrest charged with battery,Arrest,D00430
5626,Information / Traffic Crash,5500 S. Woodlawn,5/12/14 11:51 PM,5/12/14 11:51 PM,Bicyclist struck by a shuttle bus / No injuries claimed / Refused medical exam,Closed,D00431
5627,Theft,6054 S. Drexel (Parking Structure),5/13/14 11:45 AM,4/22/14 to 5/13/14 10:30 AM to 11:30 AM,Fire extinguisher taken from level 3C,Open,D00432
5628,Information / Burglary,Harper between 53rd & 54th,5/13/14 2:23 PM,5/13/14 11:30 AM to 2:20 PM,"Unknown person(s) entered off campus private apartment via unsecured rear window and took a laptop computer, iPad and coins / CPD case",CPD,D00433
5629,Theft from Motor Vehicle,5505 S. Ellis (Parking Structure),5/13/14 2:05 PM,5/12/14 9:00 AM to 6:45 PM,Four hub caps taken from a vehicle parked on the lower level of the garage,Open,D00434
5630,Recovered Vehicle,810 E. Hyde Park,5/13/14 4:50 AM,5/13/14 4:50 PM,UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to Chicago Police on 5/9/14 / Returned to owner / CPD case HX254978,CPD,D00435
5631,Theft,5514 S. Blackstone (Blackstone Villa),5/13/14 8:15 PM,5/13/14 2:00 PM to 8:10 PM,Unknown person opened parcel left in apartment building lobby and took contents,Open,D00436
5632,Criminal Damage to Vehicle,5505 S. Ellis (Parking Structure),5/14/14 9:19 AM,5/13/14 9:15 AM to 5:00 PM,Owner returned to vehicle parked on the 4th level and found scratches on driver's side door,Open,D00437
5633,Information / Burglary,Woodlawn between 50th & 51st St.,5/14/14 1:34 PM,5/14/14 7:45 AM to 1:30 PM,Unknown person(s) entered off campus private apartment via unsecured side window taking electronics and jewelry / CPD case,CPD,D00438
5634,Theft,1020 E. 58th St. (Kent Bike Rack),5/14/14 2:54 PM,5/14/14 8:30 AM to 12:00 PM,Bicycle secured to bike rack taken by an unknown person,Open,D00439
5635,Burglary,5316 S. Dorchester (Gaylord Apts.),5/14/14 6:42 PM,5/14/14 6:42 PM,"UCPD officers arrested two males for unlawfully entering a secured off campus UC owned building and taking a parcel, the property of a resident / Charged with residential burglary",Arrest,D00440
